text,labels,domain,source
Democratic Congresswomen Call For Investigation Into Trump Sexual Misconduct Allegations More than 100 representatives of all genders signed a letter Tuesday calling for Congress to open an investigation into Trump.,,Politics,huffpost
"5 Of Trump's 19 Accusers Leading Call For Congress To Investigate Misconduct Claims We got to have higher standards in this country and we need to hold these people very accountable, said Melinda McGillivray.",,Politics,huffpost
"Condoleezza Rice Asks Alabama Voters To 'Reject Bigotry, Sexism And Intolerance' Rice, an Alabama native and former secretary of state, called on voters in Tuesday's Senate election to stand for our core principles.",,Politics,huffpost
Trump Smears Kirsten Gillibrand As A 'Flunky' Who 'Would Do Anything' For Campaign Money The New York senator called on Trump to resign after several women asked Congress to investigate their stories.,,Politics,huffpost
"Should We Pay The Staggering Economic And Human Costs Of Nuclear Weapons? This October, the non-partisan Congressional Budget Office CBO reported that its estimate of the cost for the planned modernization",,Politics,huffpost
Internet Pioneers Call For Congress To Stop FCC Vote And Keep Net Neutrality Alive It should be stopped.,,Politics,huffpost
Congresswoman Moves To Protect Senate Pages From Accused Molester Roy Moore Rep. Gwen Moore is worried about the Senate's teenage interns if he wins election.,,Politics,huffpost
"4 Trump Accusers Call On Congress To Investigate Sexual Misconduct Claims People are being held accountable for unwanted behavior, but we are not holding our president accountable for what he is and who he is.",,Politics,huffpost
White House Calls CNN 'Fake News' After Outlet Mixed Up 2 Indian-Americans The news outlet confused the photos of Trump's principal deputy press secretary and a former Obama official.,,Politics,huffpost
"The Fossilization Of The Tax Code Here is a story relevant to the tax reform bill being hammered out in Congress. It will take a minute, so please stick with",,Politics,huffpost
"Star U.S. Diplomat Quits With Fiery Letter To Rex Tillerson The Trump administration has a stinging disrespect for diplomats, she wrote.",,Politics,huffpost
Twitter Users Erupt Over GOP Congressman's 'Diversity Is Not Our Strength' Post You are Exhibit A why a family tree should fork and culture should be a bouillabaisse of the best of all people.,,Politics,huffpost
Trump And Congressional Republicans Are Destroying Our Kids Future 4 million U.S. citizen children will plunge back into poverty. The Congressional Budget Office analysis showed that families,,Politics,huffpost
House Ethics Committee To Investigate Blake Farenthold Over Sexual Harassment Claim The Texas congressman is accused of settling with the woman he fired using a taxpayer-funding account.,,Politics,huffpost
"U.S. Mayors Pen Outraged Letter To FCC Ahead Of Proposed Net Neutrality Repeal They call it a stark, inexplicable, and unwarranted attack on the constitutional principles that lie at the heart of our system of government.",,Politics,huffpost
Al Franken Deserved Better Than A Political Execution Without A Trial Senator Al Franken announced his resignation yesterday amidst accusations of inappropriately touching multiple women after,,Politics,huffpost
"Protesters Demonstrate Outside Verizon Stores, Congressional Offices To Save Net Neutrality It's time to fret, we cannot let them have the net.",,Politics,huffpost
"GOP Congresswoman Calls On Rep. Blake Farenthold To Resign Farenthold, a Texas Republican, reportedly settled a sexual harassment claim with taxpayer money.",,Politics,huffpost
Thursday's Morning Email Australia Celebrates As Parliament Approves Same-Sex Marriage Same-sex weddings are expected to begin in 2018.,,Politics,huffpost
Congress Passes Stopgap Spending Bill To Avert Government Shutdown Strap on your can-kicking shoes.,,Politics,huffpost
"FBI Director Defends Bureau's 'Brave Men And Women' After Trump Twitter Attack There is no finer institution than the FBI, Director Chris Wray told Congress.",,Politics,huffpost
Australia Celebrates As Parliament Approves Same-Sex Marriage Public opinion was on the side of marriage equality.,,WorldNews,huffpost
Exclusive Former Congressman Harold Ford Jr. Fired For Misconduct By Morgan Stanley A woman who was interviewed as part of the company s HR probe separately told HuffPost that Ford harassed her one evening in Manhattan several years ago.,,Politics,huffpost
Diplomats And World Leaders Hate Trump s Jerusalem Move -- But His Base Loves It White evangelical Christians overwhelmingly support Trump. They also overwhelmingly believe God gave Israel to the Jews.,,Politics,huffpost
Michael Flynn's Former Deputy Appears To Contradict Herself On His Russia Contacts Report K.T. McFarland told Congress she didn t know of any communications between Flynn and the Russian ambassador but emails tell a different story.,,Politics,huffpost
Another Former Staffer Alleges That John Conyers Groped Her The veteran congressman announced late Tuesday morning that he would retire from Congress.,,Politics,huffpost
John Conyers Retiring Amid Sexual Misconduct Allegations Multiple former female staffers have accused the congressman of inappropriate touching and propositioning them for sex.,,Politics,huffpost
"Why Congress Should 'Fix NICS' And Reject The NRA's So-Called Concealed Carry 'Reciprocity' Bill A regular HuffPost Contributor, Jennifer Rand has written several other articles on gun violence prevention, including We",,Politics,huffpost
Progressives Face Too Many Good Options In Race To Succeed Key Chicago Congressman But there are suspicions retiring Rep. Luis Gutiérrez tried to tilt the contest.,,Politics,huffpost
"Teen Suspect Sought In Disturbing Cat-Throwing Video Ontario, California, police say they have identified the suspect but have not yet found him.",,Crime,huffpost
Dalai Lama Meets 'Old Trusted Friend' Barack Obama In India To Discuss World Peace The two met in New Delhi to discuss promoting peace and a sense of oneness in a divided world.,,Politics,huffpost
Controversial Congressman Once Asked Why Terrorists Don t Target The IRS and DMVs Rep. Blake Farenthold appears to be the only congressman to use funds from an oversight office to settle a sex harassment claim.,,Politics,huffpost
Progressives Enjoy Wealth Of Good Options In Race To Succeed Key Chicago Congressman But there are suspicions that retiring Rep. Luis Gutiérrez tried to tilt the contest.,,Politics,huffpost
"An Abominable Massacre Of Poor Children's Futures The United States Congress and Trump administration are engaged in a morally abominable massacre of the hopes, dreams and",,Politics,huffpost
British Lawmaker Uses Dumbledore's Words To Make Point About Donald Trump British Member of Parliament Sam Gyimah also said he was deeply uncomfortable about a possible Trump visit to the United Kingdom.,,Politics,huffpost
John Conyers' Lawyer Continues To Cast Doubt On Sexual Harassment Allegations He said the congressman could decide within days if he'll remain in office.,,Politics,huffpost
Paul Ryan Struggles To Explain Why Trump Shouldn't Have To Resign Over Sexual Misconduct Claims He said he's only focused on misconduct in Congress.,,Politics,huffpost
"Congress Members -- Shameless Congress has long exempted its own members from laws and regulations it imposed on all others. Most recently, this we-are",,Politics,huffpost
Thursday's Morning Email Inside Matt Lauer's Downfall Multiple reports detail the Today show star's history of sexual misconduct.,,Politics,huffpost
"John Conyers' Attorney Points Fingers At Accusers, Says Congressman Won't Resign At the end of the day the congressman will rise and fall on his own merits, he said.",,Politics,huffpost
"Safeguarding America's Health System From Sabotage By Susan Blumenthal, M.D. and Alexis Boaz Despite months of Congress repeal and replace attempts and President Trump s executive",,Politics,huffpost
"Why Cutting Historic Preservation Tax Credits Won't Be Easy As Republicans in Congress contemplate scrapping the federal historic preservation tax credit, recent experience in several",,Politics,huffpost
Danish Prime Minister Gives Indonesia's President The Most Metal Diplomatic Gift Ever,,Politics,huffpost
"Keith Ellison Calls Out Proposed Minnesota Pipeline After Keystone XL Wins Approval The congressman urged state officials to think about climate change, pollution and Native American rights.",,Politics,huffpost
"Another Woman Accuses Democratic Rep. John Conyers Of Sexual Misconduct Deanna Maher, his former deputy chief of staff, says the veteran congressman inappropriately touched her and asked to have sex with her.",,Politics,huffpost
Rex Tillerson's State Department Reorganizer Resigns After Just 3 Months She was there to help Tillerson slash budgets and push out diplomats.,,Politics,huffpost
"Benghazi Attack Organizer Acquitted Of Most Serious Charges A jury acquitted Ahmed Abu Khatallah of all but four charges in connection with a 2012 attack on a U.S. diplomatic compound in Benghazi, Libya.",,WorldNews,huffpost
"Janet Yellen And Barack Obama s Economy Is Looking Good As Congress debates plans to give even more money to the country s richest people, it is worth briefly recounting where the",,Politics,huffpost
"Democratic Congressman Luis Gutiérrez Won't Seek Re-Election The prominent pro-immigrant, anti-Trump representative was first elected in 1992.",,Politics,huffpost
Congress Shouldn t Rub SALT In The Wound Adding to the existing tax burden on the middle class by repealing the SALT deduction is a big step in the wrong direction.,,Politics,huffpost
"Video Surfaces Of Georgia Tech Football Player Knocking Out Teammate Discipline was handled internally, the school said.",,Sports,huffpost
"Nancy Pelosi Believes A John Conyers Accuser One Day After Being Wishy-Washy On Sunday, the House Democratic leader wouldn't say if the congressman should resign.",,Politics,huffpost
"MeToo, And It s Time For Change This legislation would ensure members of Congress are subject to sexual harassment training and settlements are made public.",,Politics,huffpost
Judicial Negligence Compounds Political Negligence In South Carolina The state's longstanding apathy toward the plight of the its poor population and people of color is clear in its courts and its legislature.,,Education,huffpost
Pope Francis Arrives In Myanmar To Navigate Diplomatic Minefield The pope met with a military commander accused of overseeing a brutal campaign against the country's Rohingya Muslims.,,WorldNews,huffpost
Ivanka Trump Visits India Amid Criticism Of Clothing Line's Labor Practices The first daughter's clothing line is manufactured entirely overseas including in India.,,Politics,huffpost
Congressman Calls Trump 'An Idiot' For Using Egypt Mosque Attack To Promote Border Wall Rep. Filemon Vela D-Texas slammed the president over his response to Friday's mass shooting that left more than 300 dead.,,Politics,huffpost
Nancy Pelosi Won't Say If John Conyers Should Resign She also would not affirm whether she believes the women who have accused the veteran Democratic congressman of sexual harassment.,,Politics,huffpost
John Conyers Steps Down From Powerful House Committee Amid Sexual Harassment Allegations The House Democrat continues to deny the multiple allegations.,,Politics,huffpost
Report Tillerson Snubbing Ivanka Trump's India Trip Amid Tensions No senior State Department officials will accompany her to a business summit there.,,Politics,huffpost
Indian Politician Offers 1.5 Million To Behead Bollywood Star Surajpal Amu of India's ruling party offered the bounty amid controversy over a film's representation of a Hindu legend.,,WorldNews,huffpost
"The Mysterious Disappearance Of An Argentine Navy Sub Just Got Even Stranger An abnormal sound consistent with an explosion was detected near where the vessel disappeared last week, said the Argentine navy.",,WorldNews,huffpost
"Saudi Prince Mohammed s Achilles Heel Misreading Tea Leaves In Washington Emboldened by perceived White House support, Saudi Crown Prince Mohammed bin Salman appears to have stepped up his risky",,WorldNews,huffpost
"'Zero Hope For Denuclearizing North Korea,' China Expert Says Trump's designation of North Korea as a state sponsor of terrorism could greatly undermine a diplomatic solution.",,WorldNews,huffpost
3 Missing After U.S. Navy Transporter Crashes In Philippine Sea The U.S. Seventh Fleet says search and rescue efforts are under way.,,WorldNews,huffpost
Congress Has A Sexual Harassment Problem And Congress isn't adequately dealing with it.,,Politics,huffpost
Zimbabwe Parliament Begins Impeachment Process Against President Robert Mugabe Thousands of people have joined mass protests against Mugabe and calls to resign have come from many sides.,,WorldNews,huffpost
Congress Should Impose A Moratorium On Judicial Appointments Until The Special Counsel's Investigation Is Completed The politicization of the judicial branch has reached new heights.,,Politics,huffpost
"As World Turns More Slowly, We Face Earthquake Boom, Scientists Warn The number of severe quakes could triple next year.",,Science,huffpost
Tuesday's Morning Email One Of The Longest-serving Congressmen Reportedly Settled Complaint Over Unwanted Advances Rep. John Conyers reportedly settled a wrongful dismissal complaint.,,Politics,huffpost
"My Hunger Strike Is For My Family And The Country I Call Home We hope that by giving up food, we can show our congressional representatives just how important this is. Just how much is on the line.",,Politics,huffpost
Congresswoman Says Former Congressman Tried To Force Himself On Her In Elevator Rep. Diana DeGette says former San Diego Mayor Bob Filner once tried to forcibly kiss her. Former Rep. Donna Edwards also said he behaved inappropriately toward her.,,Politics,huffpost
J.D. Vance Republican Presidential Nominee In 2032? Just the fact that he has a political adviser is a harbinger of things to come.,,Politics,huffpost
Democrats Select Candidate To Replace GOP Congressman Who Resigned Over Abortion Conor Lamb will face GOP state Rep. Rick Saccone in the March 13 special election in Pennsylvania.,,Politics,huffpost
Lobbyists Swarm Congress To Protect Interests In GOP Tax Bill No legislation sweeps across American interests quite like a tax bill.,,Politics,huffpost
19 Asian-Americans Arrested At Paul Ryan's Office Pushing For Dream Act They were calling on Congress to protect young undocumented immigrants.,,Politics,huffpost
Jeff Sessions Yuks It Up Over Russians In Speech To Lawyers The attorney general's joking followed a congressional grilling for apparent discrepancies in his stories about Trump campaign contacts with Russians.,,Politics,huffpost
"U.S. Military And CIA Leaders May Be Investigated For War Crimes On November 3, the chief prosecutor of the International Criminal Court ICC informed the court s Pre-Trial Chamber, T",,Politics,huffpost
"Tax Reform Have Americans Finally Wised Up? This post first appeared at BillMoyers.com. OK, you know the scenario by now. Congressional Republicans propose surprise",,Politics,huffpost
"Senator Used To 'Avoid Elevators' As Congressional Intern For Fear Of Sexual Harassment Elevators were when you were captured, Sen. Claire McCaskill D-Mo. said.",,Politics,huffpost
"The GOP Tax Plan First The Dagger, Now The Scalpel, To The Middle Class The Republicans in Congress have become modern-day Robin Hoods but in reverse.",,Politics,huffpost
"Republicans Aren't Sweating The Procedural Obstacles To Tax Reform Maybe they should worry, since a parliamentary quirk gives Democrats some leverage.",,Politics,huffpost
"Federal Judge Reins In St. Louis Police, Finding Protest Crackdown Unconstitutional St. Louis cops exercised their discretion in an arbitrary and retaliatory fashion to punish protesters for voicing criticism of police, the judge ruled.",,Politics,huffpost
Watch This GOP Congressman Literally Run Away From Questions About Roy Moore Rep. Mo Brooks R-Ala. ran down a stairway blaming Democrats.,,Politics,huffpost
The Only Thing That Can Block A Trump-Ordered Nuclear Strike Is The Military Itself A Senate committee realizes that Congress has zero say in a potential first-strike nuclear attack.,,Politics,huffpost
"Why I Refused To Greet President Macron At France's Commemorative Ceremony Since the Charlie Hebdo attack, the number of acts of terrorism on our soil continues to multiply, but strangely, the voice of victims is becoming increasingly scarce.",,WorldNews,huffpost
An Honest Approach To Simplifying Corporate Income Taxes We can get to a simplified corporate income tax system that raises the same amount of revenue with much less waste.,,Politics,huffpost
Congresswoman Says At Least 2 Members Of Congress Are Sexual Harassers Rep. Jackie Speier D-Calif. has been an outspoken advocate for making it easier for Congress workers to report sexual misconduct.,,Politics,huffpost
Kellyanne Conway Believes Roy Moore s Alleged Behavior Is Disqualifying Multiple women have also accused Donald Trump of sexual assault.,,Politics,huffpost
Donald Trump Jr. Messaged With WikiLeaks During Presidential Campaign The messages were handed over to congressional investigators probing Russia's influence on the 2016 election.,,Politics,huffpost
"Thick Cloud Of Toxic Smog Envelops New Delhi Despite Emergency Efforts A U.S. embassy measure showed levels of poisonous airborne particles had reached 495, compared with the upper limit of good quality air at 50.",,WorldNews,huffpost
"Some Of America's Wealthiest Tell Congress To Raise Their Taxes, Not Cut Them More than 400 millionaires and billionaires penned a letter to Congress.",,Politics,huffpost
Congressional Lies Threaten America s Democracy And Social Fabric A democratic system can withstand political differences and vigorous debate and emerge even stronger. But transparent and,,Politics,huffpost
Why Does Congress Want To Take 250 From Every Teacher? My wife teaches music in Iowa s most urban school district. She is assigned to ten different schools where she often teaches,,Education,huffpost
"The GOP Tax Bill Will Place A Dagger In The American Dream Of Home Ownership Should the bill pass, Republicans in Congress will need to answer to millions of Americans who see their ambitions of owning a home go up in flames.",,Politics,huffpost
"Millions In Yemen Will Die Unless Saudi Aid Blockade Is Lifted, UN Warns The Saudi-led war in Yemen, which has been orchestrated by Crown Prince Mohammed bin Salman, has left the country on the brink of famine.",,WorldNews,huffpost
"Thursday's Morning Email GOP Presses Forward With Tax Plan Despite Election Shellacking According to the Congressional Budget Office, the current GOP tax plan would add 1.7 trillion to the national debt.",,Politics,huffpost
Trooper Sues After Being Forced To Alter Arrest Report Of Judge's Daughter Ryan Sceviour claims he was disciplined for including admissions of drug use and prostitution in his report.,,Crime,huffpost
"Health Emergency Declared In New Delhi As Toxic Smog Blankets The City Delhi has become a gas chamber, a senior Indian official warned this week.",,WorldNews,huffpost
Remembering Dina Neither Indians nor Pakistanis quite forgave Dina Wadia for being Muhammad Ali Jinnah s daughter. The former made her life,,WorldNews,huffpost
Saudi Crown Prince s Unprecedented Power Grab Could Come To Haunt Him Saudi Crown Prince Mohammed bin Salman has won the first round of what could prove to be an unprecedented power grab that,,WorldNews,huffpost
"Mattis, Tillerson Want Blank Check To Wage Illegal War Congress must retain the power to authorize war, which is what the framers intended.",,Politics,huffpost
"Let s Make Tax Reform A Win for All With their latest tax proposal, self-proclaimed deficit hawks will spur a system further favoring the wealthy by reneging on their principles now.",,Politics,huffpost
Texas Mass Shooting Threatens To Eclipse Issue Of Bump Stocks Entirely How much more slaughter until enough is enough for Congress?,,Politics,huffpost
Things That Go Bump In The Night In Saudi Arabia Saturday night was a busy one for Saudi Arabia s Crown Prince Mohammed bin Salman. The kingdom s 32-year-old heir to the,,WorldNews,huffpost
"The Middle East It Will Only Get Worse As Saudi Arabia reels from Crown Prince Mohammed bin Salman s frontal assault on the kingdom s elite, indications are that",,WorldNews,huffpost
"Saudi King Arrests Multiple Princes And Boosts Crown Prince's Influence Among the detained princes was reportedly Alwaleed bin Talal, one of the world s richest men.",,Politics,huffpost
British Defense Secretary Michael Fallon Resigns Following Allegations Of Harassment He's the first member of Parliament to step down in the midst of a growing sexual harassment scandal in Westminster.,,WorldNews,huffpost
"Congressman Says It's 'Quite Possible' A Special Election Was Stolen From A Democrat Amid an inquiry into a wiped election server, Georgia's chief election official said there is no evidence to support the suggestion.",,Politics,huffpost
"Trump Nominee Wants To Keep Agency Now That He'd Get Paid To Run It As a congressman, Scott Garrett wanted to kill the Export-Import Bank. All of a sudden, he's fine with it.",,Politics,huffpost
Congress Holds Hearings On Online Political Ads Members of both legislative bodies are advocating for bills requiring more transparency in internet advertisement.,,Politics,huffpost
Texas Republican Jeb Hensarling Says This Will Be His Last Term In Congress Yet another Republican announces they won't seek re-election.,,Politics,huffpost
Photos From The Scene Of The Deadly Truck Attack In New York City Multiple people were killed.,,Crime,huffpost
"FBI Reportedly Investigating Whitefish Puerto Rico Contract FEMA, multiple congressional committees and local auditors have reportedly begun requesting documents about the deal.",,Politics,huffpost
2 Navy SEALs Under Investigation In Death Of Army Green Beret In Mali Staff Sergeant Logan Melgar may have died from strangulation.,,Politics,huffpost
Controversial Congressman Touts Iowa 'Peasant Hunt' With Donald Trump Jr. Puts a whole new twist on Second Amendment rights.,,Politics,huffpost
It s Been One Month Since The Las Vegas Shooting And Bump Stocks Are Still Legal The push for a ban on the devices has stalled in Congress.,,Politics,huffpost
Crown Prince Mohammed s Vow To Moderate Saudi Islam Easier Said Than Done Saudi Crown Prince Mohammed bin Salman s recent disavowal of the kingdom s founding religious ideology had a master s voice,,WorldNews,huffpost
California Rep. Jackie Speier Launches MeTooCongress The Democratic congresswoman calls Capitol Hill a breeding ground for a hostile work environment.,,Politics,huffpost
President Trump s Iran Deal Message To North Korea Do Not Trust Washington President Donald Trump continues to treat his administration as an international diplomacy wrecking crew. His latest target,,Politics,huffpost
Catalan Parliament Declares Independence From Spain The Spanish government moved to impose direct rule over Catalonia less than an hour later.,,WorldNews,huffpost
"For Trump, Words Are Stupid Things In Britain late last week, Conservative Member of Parliament Nicholas Soames, grandson of Winston Churchill, described Donald",,Politics,huffpost
"DEA Blasted for Stonewalling Probe On Opioid Pill Dumping As Trump declares a public health emergency, a congressional committee can't squeeze answers out of the federal agency.",,Politics,huffpost
"Steve Bannon Aims To Expose 'Bankrupt' Hollywood With New Breitbart War He rips Tinseltown's moral hypocrisy, even though his former boss Trump was accused of sexual harassment by multiple women.",,Politics,huffpost
Aerial Images Reveal North Korea's Secret Network Of Prisons And 'Re-Education' Camps A new report sheds light on the regime's system of arbitrary detention and severe repression.,,WorldNews,huffpost
'What Is Rich?' Asks Congresswoman Worth 75 Million Is 1 million rich? Is 10 million rich? Is 1 billion rich?,,Politics,huffpost
The Arizona Senate Race Is About To Be Bonkers The first openly bisexual member of Congress could end up facing off against a Republican whose own party has called her a conspiracy theorist.,,Politics,huffpost
"Trump Should Tackle Climate If He Wants To Save Billions, Congressional Report Says We cannot ignore the impact of climate change on our public health, our environment, and our economy, the Government Accountability Office says.",,Politics,huffpost
Donald Trump Tries A New Tactic To Attack Congresswoman Who Exposed His Lies Rep. Frederica Wilson D-Fla. had revealed unflattering details of the president's conversation with an Army widow.,,Politics,huffpost
"Amid Niger Questions, Congress Calls Tillerson, Mattis To Testify In War Powers Debate WASHINGTON With the Afghanistan War in its 17th year and U.S. troops spread across the globe to combat terrorism, the Senate",,Politics,huffpost
The White House Keeps Attacking Congresswoman Who Has Been Right All Along Calling Rep. Frederica Wilson D-Fla. a liar keeps backfiring.,,Politics,huffpost
Trump Rips 'Wacky' Congresswoman For Criticizing His Phone Call To Combat Widow And he claims Rep. Frederica Wilson secretly listened to a call she heard on speakerphone.,,Politics,huffpost
"Congress, Don t Tamper With The Iran Deal -- Build On It The Trump administration s approach to the Iran deal is problematic, as it is taken out of the context of the multiple conflicts",,WorldNews,huffpost
Trump And Netanyahu Walk In Lockstep On Iran We must apply pressure on both Congress and the White House to retain the Iran deal.,,WorldNews,huffpost
"Ohio Man Could Be The First Rabbi In Congress I m doing this for the same reason that drove me to become a rabbi 37 years ago, said Rabbi Robert Barr.",,Politics,huffpost
"TX Congresswoman It's The 'Responsibility Of The Female' To Prevent Sexual Abuse I think that many times, men get away with this because they are allowed to get away with it by the women.",,Politics,huffpost
John Kelly 'Stunned' By 'Selfish' Congresswoman Who Recounted Trump's Call With Soldier's Widow The president reportedly told the woman that the man must ve known what he signed up for.,,Politics,huffpost
We Just Fully Blocked Muslim Ban 3.0! Now it's up to Congress to pull the plug on this endless game.,,Politics,huffpost
The Shameful Republican Congress The political pressure cooker in Washington is nearing the boiling point. Republican Senator Bob Corker s R-TN recent public,,Politics,huffpost
"It s a Fact Supreme Court Errors Aren t Hard to Find A ProPublica review adds fuel to a longstanding worry about the nation s highest court The justices can botch the truth, sometimes in cases of great import.",,Politics,huffpost
Trump Claims Congresswoman Lied About His Call To Army Widow The president was said to have told the woman her husband must have known what he signed up for.,,Politics,huffpost
"Congress At Standstill Over Reauthorizing Health Insurance For 9 Million Kids It s been 3 weeks since it expired, and several states will run out of money soon.",,Politics,huffpost
"Trump Says He Believes Cuba Responsible For Attacks That Hurt U.S. Diplomats It s a very unusual attack, as you know.",,Politics,huffpost
Mississippi GOP Sen. Thad Cochran Absent From Congress Due To Illness The GOP is short a vote at a critical time for the budget and tax reform.,,Politics,huffpost
"When Government Designs Programs To Help Kids, The Details Matter Ivanka Trump is reportedly lobbying members of Congress on changes to the child tax credit.",,Politics,huffpost
"Continuing The Progress Of The Affordable Care Act Guiding Principles To Ensure Value-Based Payment Those interested in ensuring continued progress should consider submitting a comment to CMS, making suggestions related to the 'new direction.'",,Politics,huffpost
Tillerson Diplomacy With North Korea Will Continue 'Until The First Bomb Drops' The Secretary of State says President Trump is not seeking to go to war.,,Politics,huffpost
"A Secretive NYC Backchannel May Be The Best Hope For Avoiding War With North Korea The North Korean diplomats in New York don t engage in propaganda, they don t bang on the table, they don t engage in threats, a veteran diplomat said.",,Politics,huffpost
"Friday Talking Points -- Buck-Passer In Chief Trump's style is to cause a crisis on his own, and then dump the entire problem on Congress to deal with.",,Politics,huffpost
Rep Who Body-Slammed A Journalist Bailed On A Meeting About Empowering The Press The congressman was supposed to make amends with the Committee to Protect Journalists. He wasn't there long.,,Politics,huffpost
"Congress Must Act On Bump Stocks Because ATF's 'Hands Are Tied,' Says Agency Group The organization's president said some lawmakers are shirking their responsibility.",,Politics,huffpost
"Former GOP Candidate Arrested For Mailing Pipe Bomb, Bullet To Political Enemies Eric Krieg -- a former Republican candidate for office in Lake County, Indiana -- allegedly sent a pipe bomb that injured a postal employee.",,Politics,huffpost
The Republican Tax Plan To Slow Growth Congressional conservatives are advancing policy that will spur tax avoidance schemes and prioritize investment abroad over domestic investment.,,Politics,huffpost
"Trump Asks Congress For 4.9 Billion Loan To Puerto Rico The territory, whose 3.4 million residents are American citizens, declared bankruptcy in May.",,Politics,huffpost
"Are We Going To Abandon Kurdistan? A Call From Bernard-Henri Lévy, Bernard-Kouchner, Salman Rushdie, Adam Michnik... The ill winds of history are blowing again toward Kurdistan. Serious threats have been made by Kurdistan s powerful neighbors",,WorldNews,huffpost
"Here's The Mugshot Of Rep. Greg Gianforte That He Really, Really Didn't Want You To See The congressman was convicted in June of assaulting a reporter.",,Politics,huffpost
"Celebrities And Experts Push Congress To End Trump's Support For Saudi Carnage In Yemen With a House vote this week, a diverse group -- including Mark Ruffalo, Alice Walker, Laurence Tribe and FreedomWorks -- is getting involved.",,Politics,huffpost
"Does Cuba Know Who Is Behind 'Attacks' On U.S. Diplomats? The idea that Cuba knows nothing about how these attacks took place and who perpetrated them is absurd, Senator Marco Rubio",,Politics,huffpost
South Carolina Democrat Kicks Off Second Congressional Bid With Self-Deprecating Video Archie Parnell nearly won a June special election in a Republican stronghold.,,Politics,huffpost
Showing Credible Fear Is A Hurdle In Avoiding Deportation We are often the last line of defense for immigrants who have failed multiple times to convince Immigration and Customs Enforcement ICE officers that they have a credible fear of persecution or torture.,,Politics,huffpost
"Mike Pence's NFL 'Stunt' In Indianapolis May Have Cost Taxpayers Over 88,000 Democratic lawmakers ripped into Pence over his expensive attempt to shame players protesting during the national anthem.",,Politics,huffpost
"Offended By Protest, Pence Leaves Football Game Colts Win Anyway On Sunday, Vice-President Mike Pence walked out of an Indianapolis Colts San Francisco 49er football before the game even",,Politics,huffpost
Trump Has A New Plan To Undermine Obamacare And It Doesn't Need Congress The president is considering executive action that could destabilize markets and undermine pre-existing condition protections.,,Politics,huffpost
The Vietnam War Is Not History For Victims Of Agent Orange The actions of the U.S. government and the U.S. manufacturers of Agent Orange and other deadly herbicides is a moral outrage.,,Politics,huffpost
States Scramble To Overcome Congress Failure To Move On CHIP Congress failure to re-enact the Children s Health Insurance Program is putting states in a tough bind. By Michael Ollove,,Politics,huffpost
A Memo To The Next Secretary Of State Some suggestions for repairing America's diplomatic machinery.,,Politics,huffpost
"Triple Talaq Abolition Is Only The Start Of A Larger Campaign For Gender Justice In India By Zoya Hasan, Jawahawlal Nehru University The egregious practice that some Muslim men employ to divorce their wives instantaneously",,WorldNews,huffpost
Thursday's Morning Email Momentum Grows In Congress For 'Bump Stock' Ban After some Republicans expressed interest.,,Politics,huffpost
Paul Ryan Says Congress Should 'Look Into' Bump Stocks The GOP is warming to the idea of banning the device that figured in the Las Vegas mass shooting.,,Politics,huffpost
Trump's Failed Army Secretary Nominee Running For Congress Mark Green withdrew his name from consideration after he came under criticism for anti-LGBTQ remarks.,,Politics,huffpost
Momentum Grows In Congress For 'Bump Stock' Ban After Las Vegas Shooting Sen. Dianne Feinstein introduced the new bill after her daughter nearly attended the deadly Las Vegas concert.,,Politics,huffpost
"I Came To Indiana As A Refugee. I'm Staying As An Activist. I will, for as long as my body and mind will let me, be an advocate for every American s life, liberty and the pursuit of happiness.",,Politics,huffpost
"Steve Scalise On Las Vegas Shooting It Has 'Fortified' My Support For Gun Rights Instead of pushing their own political beliefs, Americans should be offering up their prayers, the Louisiana congressman told Fox News.",,Politics,huffpost
"Indiana Has Issues, But There's Nowhere Else I'd Rather Be When it feels bleak, that just means the people who are working towards a better future are easy to find if you know where to look.",,Politics,huffpost
How Can Progressives Succeed In Trump Country? Ask Tom Perriello. The former Virginia congressman can wow journalists. But can he succeed within his own party?,,Politics,huffpost
U.S. Will Expel 15 Cuban Diplomats Following Mystery Attacks At least 21 Americans working at the U.S. embassy in Havana have been affected.,,Politics,huffpost
"Trump Might Hold Dreamers' Futures Hostage, But No One Is Sure What He'll Demand Members of Congress are split on whether to tie the fate of young undocumented immigrants to other measures that could sink a deal.",,Politics,huffpost
Progressive Groups Invoke Trump In New Push For Surveillance Reform A letter to Democratic members of Congress aims to make government spying an issue for future presidential candidates.,,Politics,huffpost
"On Congress' Inaction On Gun Violence, This New York Times Editorial Says It All 477 Days. 521 Mass Shootings. Zero Action from Congress, reads the headline on the succinct editorial.",,Politics,huffpost
"Sandy Hook Mother Tears Into Congress After Las Vegas Massacre The shooter in Las Vegas was identified as 64-year-old Stephen Paddock, a white male from Mesquite, Nev., police said. Officials",,Politics,huffpost
Congress Must Act To End Corporate Greed And Abusive Practices Companies like Wells Fargo and Equifax should not be allowed to cheat consumers with impunity.,,Politics,huffpost
"Facebook Plans To Hand Over Russia-Linked Ads To Congress Facebook said it plans to turn over some 3,000 ads with suspected Russian connections from the 2016 election.",,Politics,huffpost
Las Vegas Shooting Leads To Renewed Scrutiny Of GOP Push To Deregulate Silencers Congress was expected to vote on the measure in the coming weeks.,,Politics,huffpost
